Record Length,2500,Points,-249.99998277E-6,400.00000596E-3,,Record Length,2500,Points,-249.99998277E-6,9.000000000,
Sample Interval,200.00000234E-9,s,-249.79998125E-6,600.000023842E-3,,Sample Interval,200.00000234E-9,s,-249.79998125E-6,8.800000191,
Trigger Point,1.2500000E3,Samples,-249.59997972E-6,400.00000596E-3,,Trigger Point,1.2500000E3,Samples,-249.59997972E-6,8.800000191,
,,,-249.39997820E-6,400.00000596E-3,,,,,-249.39997820E-6,8.600000381,
,,,-249.19997668E-6,400.00000596E-3,,,,,-249.19997668E-6,8.800000191,
,,,-248.99997516E-6,200.00000298E-3,,,,,-248.99997516E-6,8.600000381,
Source,CH1,,-248.79997363E-6,400.00000596E-3,,Source,CH2,,-248.79997363E-6,8.600000381,
Vertical Units,Volts,,-248.59997211E-6,400.00000596E-3,,Vertical Units,Volts,,-248.59997211E-6,8.600000381,
Vertical Scale,5.00000007,,-248.39997059E-6,400.00000596E-3,,Vertical Scale,5.00000007,,-248.39997059E-6,8.600000381,
Vertical Offset,0,,-248.19996906E-6,200.00000298E-3,,Vertical Offset,0,,-248.19996906E-6,8.400000572,
Horizontal Units,s,,-247.99999665E-6,0.0,,Horizontal Units,s,,-247.99999665E-6,8.199999809,
Horizontal Scale,50.00000058E-6,,-247.79999512E-6,0.0,,Horizontal Scale,50.00000058E-6,,-247.79999512E-6,8.400000572,
Pt Fmt,Y,,-247.59999360E-6,-200.00000298E-3,,Pt Fmt,Y,,-247.59999360E-6,8.600000381,
Yzero,0.0,,-247.39999208E-6,-200.00000298E-3,,Yzero,40.00000000E-3,,-247.39999208E-6,8.199999809,
Probe Atten,1.000000,,-247.19999055E-6,0.0,,Probe Atten,1.000000,,-247.19999055E-6,8.199999809,
,,,-246.99998903E-6,-400.00000596E-3,,,,,-246.99998903E-6,8.199999809,
Note,TDS 2012 - 12:18:08 PM   9/29/2016,,-246.79998751E-6,-200.00000298E-3,,Note,TDS 2012 - 12:18:08 PM   9/29/2016,,-246.79998751E-6,8.199999809,
,,,-246.59998599E-6,-200.00000298E-3,,,,,-246.59998599E-6,8.000000000,
,,,-246.39998446E-6,-200.00000298E-3,,,,,-246.39998446E-6,8.000000000,
,,,-246.19998294E-6,-200.00000298E-3,,,,,-246.19998294E-6,8.000000000,
,,,-245.99998142E-6,-400.00000596E-3,,,,,-245.99998142E-6,8.000000000,
,,,-245.79997989E-6,-400.00000596E-3,,,,,-245.79997989E-6,7.800000191,
,,,-245.59997837E-6,-400.00000596E-3,,,,,-245.59997837E-6,8.000000000,
,,,-245.39997685E-6,-600.000023842E-3,,,,,-245.39997685E-6,7.800000191,
,,,-245.19997532E-6,-600.000023842E-3,,,,,-245.19997532E-6,7.599999905,
,,,-244.99997380E-6,-800.000011921E-3,,,,,-244.99997380E-6,7.800000191,
,,,-244.79997228E-6,-600.000023842E-3,,,,,-244.79997228E-6,7.800000191,
,,,-244.59997076E-6,-800.000011921E-3,,,,,-244.59997076E-6,7.599999905,
,,,-244.39996923E-6,-600.000023842E-3,,,,,-244.39996923E-6,7.800000191,
,,,-244.19999681E-6,-800.000011921E-3,,,,,-244.19999681E-6,7.20000029,
,,,-243.99998074E-6,-1.000000,,,,,-243.99998074E-6,7.400000095,
,,,-243.79997922E-6,-1.000000,,,,,-243.79997922E-6,7.400000095,
,,,-243.59997769E-6,-800.000011921E-3,,,,,-243.59997769E-6,7.599999905,
,,,-243.39997617E-6,-1.2000000,,,,,-243.39997617E-6,7.20000029,
,,,-243.19998920E-6,-1.000000,,,,,-243.19998920E-6,7.400000095,
,,,-242.99998768E-6,-1.000000,,,,,-242.99998768E-6,7.20000029,
,,,-242.79998615E-6,-1.000000,,,,,-242.79998615E-6,7.20000029,
,,,-242.59998463E-6,-1.2000000,,,,,-242.59998463E-6,7.00000000,
,,,-242.39998311E-6,-1.4000000,,,,,-242.39998311E-6,7.00000000,
,,,-242.19998159E-6,-1.4000000,,,,,-242.19998159E-6,7.00000000,
,,,-241.99998006E-6,-1.6000000,,,,,-241.99998006E-6,6.80000019,
,,,-241.79997854E-6,-1.4000000,,,,,-241.79997854E-6,7.00000000,
,,,-241.59997702E-6,-1.4000000,,,,,-241.59997702E-6,7.00000000,
,,,-241.39997549E-6,-1.4000000,,,,,-241.39997549E-6,6.80000019,
,,,-241.19998852E-6,-1.6000000,,,,,-241.19998852E-6,6.80000019,
,,,-240.99998700E-6,-1.6000000,,,,,-240.99998700E-6,6.80000019,
,,,-240.79998548E-6,-1.6000000,,,,,-240.79998548E-6,6.40000010,
,,,-240.59998395E-6,-1.4000000,,,,,-240.59998395E-6,6.59999990,
,,,-240.39998243E-6,-1.4000000,,,,,-240.39998243E-6,6.59999990,
,,,-240.19998091E-6,-1.8000001,,,,,-240.19998091E-6,6.40000010,
,,,-239.99997939E-6,-1.8000001,,,,,-239.99997939E-6,6.59999990,
,,,-239.79997786E-6,-2.0000000,,,,,-239.79997786E-6,6.20000029,
,,,-239.59997634E-6,-2.0000000,,,,,-239.59997634E-6,6.59999990,
,,,-239.39998937E-6,-1.8000001,,,,,-239.39998937E-6,6.40000010,
,,,-239.19998785E-6,-2.0000000,,,,,-239.19998785E-6,6.40000010,
,,,-238.99998632E-6,-2.0000000,,,,,-238.99998632E-6,6.20000029,
,,,-238.79998480E-6,-2.0000000,,,,,-238.79998480E-6,6.20000029,
,,,-238.59998328E-6,-2.2000000,,,,,-238.59998328E-6,6.20000029,
,,,-238.39998175E-6,-2.2000000,,,,,-238.39998175E-6,6.00000000,
,,,-238.19998023E-6,-2.4000001,,,,,-238.19998023E-6,6.00000000,
,,,-237.99997871E-6,-2.2000000,,,,,-237.99997871E-6,6.00000000,
,,,-237.79997719E-6,-2.4000001,,,,,-237.79997719E-6,6.20000029,
,,,-237.59997566E-6,-2.4000001,,,,,-237.59997566E-6,6.00000000,
,,,-237.39998869E-6,-2.4000001,,,,,-237.39998869E-6,6.20000029,
,,,-237.19998717E-6,-2.6000001,,,,,-237.19998717E-6,5.80000019,
,,,-236.99998565E-6,-2.2000000,,,,,-236.99998565E-6,5.80000019,
,,,-236.79998412E-6,-2.6000001,,,,,-236.79998412E-6,5.80000019,
,,,-236.59998260E-6,-2.79999995,,,,,-236.59998260E-6,5.59999990,
,,,-236.39998108E-6,-2.79999995,,,,,-236.39998108E-6,5.80000019,
,,,-236.19997955E-6,-2.6000001,,,,,-236.19997955E-6,5.59999990,
,,,-235.99997803E-6,-2.6000001,,,,,-235.99997803E-6,5.80000019,
