v_bb,v_cc,v_ce,i_c
1,10,8.87,0.4
1.5,10,7.31,1.2
2,10,5.75,1.9
2.5,10,4.2,2.6
3,10,2.72,3.3
3.5,10,1.27,4
4,10,0.29,4.4
